(2017, 1, 7618611.064516129)
(2017, 2, 8876450.785714285)
(2017, 3, 8955476.41935484)
(2017, 4, 8178985.833333333)
(2017, 5, 8939831.827586208)
(2017, 6, 7790440.0)
(2017, 7, 6757058.387096774)
(2017, 8, 6599688.064516129)
(2017, 9, 7246840.5)
(2017, 10, 8138961.129032258)
(2017, 11, 7578529.066666666)
(2017, 12, 7539380.677419355)
(2018, 1, 8135145.774193549)
(2018, 2, 9710137.92857143)
(2018, 3, 8713800.0)
(2018, 4, 9020981.7)
(2018, 5, 8654503.193548387)
(2018, 6, 8953159.9)
(2018, 7, 10391241.935483871)
(2018, 8, 8394892.903225806)
(2018, 9, 8358084.0)
(2018, 10, 8482952.064516129)
(2018, 11, 10169543.7)
(2018, 12, 9371460.225806452)
(2019, 1, 10189024.58064516)
(2019, 2, 10817727.392857144)
(2019, 3, 9913579.935483871)
(2019, 4, 10819890.666666666)
(2019, 5, 10465042.451612903)
(2019, 6, 10857143.233333332)
(2019, 7, 11214812.709677419)
(2019, 8, 10708007.258064516)
(2019, 9, 10463297.6)
(2019, 10, 11164322.903225806)
(2019, 11, 10746356.433333334)
(2019, 12, 11001986.903225806)
(2020, 1, 13611543.0)
(2020, 2, 12275200.068965517)
(2020, 3, 11213416.838709677)
(2020, 4, 9582862.366666667)
(2020, 5, 9113325.838709677)
(2020, 6, 9474377.933333334)
(2020, 7, 10972215.129032258)
(2020, 8, 12249567.838709677)
(2020, 9, 12756135.466666667)
(2020, 10, 11171908.677419355)
(2020, 11, 12805923.1)
(2020, 12, 12044482.35483871)
(2021, 1, 12761012.483870968)
(2021, 2, 10721677.142857144)
(2021, 3, 11661322.709677419)
(2021, 4, 12896025.933333334)
(2021, 5, 15425066.774193548)
(2021, 6, 16008952.3)
(2021, 7, 14274800.677419355)
(2021, 8, 14186574.0)
(2021, 9, 13402214.233333332)
(2021, 10, 12857921.677419355)
(2021, 11, 12087256.933333334)
(2021, 12, 3323677.7741935486)
